"","title","book_type","rank","rank_last_week","weeks_on_list","author","publisher","description","date_published","book_image","book_image_width","book_image_height"
"1","HOW TO AVOID A CLIMATE DISASTER","Combined Print and E-Book Nonfiction",1,0,1,"Bill Gates","Knopf","A prescription for what business, governments and individuals can do to work toward zero emissions.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780385546133.jpg",342,500
"2","JUST AS I AM","Combined Print and E-Book Nonfiction",2,2,4,"Cicely Tyson with Michelle Burford","HarperCollins","The late iconic actress describes how she worked to change perceptions of Black women through her career choices.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780062931061.jpg",328,500
"3","THE SUM OF US","Combined Print and E-Book Nonfiction",3,0,1,"Heather McGhee","One World","The chair of the board of the racial justice organization Color of Change analyzes the impact of racism on the economy.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780525509561.jpg",329,500
"4","WALK IN MY COMBAT BOOTS","Combined Print and E-Book Nonfiction",4,1,2,"James Patterson and Matt Eversmann with Chris Mooney","Little, Brown","A collection of interviews with troops who fought overseas.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780316429092.jpg",322,500
"5","CASTE","Combined Print and E-Book Nonfiction",5,7,29,"Isabel Wilkerson","Random House","The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780593230251.jpg",330,500
"6","A PROMISED LAND","Combined Print and E-Book Nonfiction",6,4,14,"Barack Obama","Crown","In the first volume of his presidential memoirs, Barack Obama offers personal reflections on his formative years and pivotal moments through his first term.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781524763169.jpg",329,500
"7","BETWEEN TWO KINGDOMS","Combined Print and E-Book Nonfiction",7,11,2,"Suleika Jaouad","Random House","The writer of the New York Times column “Life, Interrupted” chronicles her fight with cancer and an impactful road trip.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780399588587.jpg",331,500
"8","GREENLIGHTS","Combined Print and E-Book Nonfiction",8,6,18,"Matthew McConaughey","Crown","The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg",392,500
"9","UNTAMED","Combined Print and E-Book Nonfiction",9,9,50,"Glennon Doyle","Dial","The activist and public speaker describes her journey of listening to her inner voice.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781984801258.jpg",330,500
"10","THINK AGAIN","Combined Print and E-Book Nonfiction",10,3,3,"Adam Grant","Viking","An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg",331,500
"11","THE BODY KEEPS THE SCORE","Combined Print and E-Book Nonfiction",11,10,26,"Bessel van der Kolk","Penguin","How trauma affects the body and mind, and innovative treatments for recovery.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg",128,193
"12","FOUR HUNDRED SOULS","Combined Print and E-Book Nonfiction",12,5,3,"edited  Ibram X. Kendi and Keisha N. Blain","One World","A compendium featuring 90 writers covering 400 years of African-American history.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780593134047.jpg",331,500
"13","THE DAUGHTERS OF KOBANI","Combined Print and E-Book Nonfiction",13,0,1,"Gayle Tzemach Lemmon","Penguin Press","In 2014, a group of all-female Kurdish militia faced off against ISIS in a small town in Syria.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780525560685.jpg",331,500
"14","THE BLACK CHURCH","Combined Print and E-Book Nonfiction",14,0,1,"Henry Louis Gates, Jr","Penguin Press","The companion book to the PBS series that provides a look at five centuries of the meaning and functions of the Black church in America.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781984880338.jpg",329,500
